group,line,m1_zb,m1_wb,m2_zb,m2_wb,m3_zb,m3_wb
AI营销业务群,AI营销,207,19,208,19,212,21
AI营销业务群,数据增值,53,16,53,16,51,15
开放平台业务群,商业共享,104,9,103,9,103,9
开放平台业务群,开发者生态,77,7,77,7,75,7
开放平台业务群,星火APP,22,0,22,0,20,0
开放平台业务群,虚拟数字人,64,23,64,23,65,23
开放平台业务群,AI交互,125,18,124,18,125,18
开放平台业务群,寰语,143,19,143,19,143,17
开放平台业务群,海外市场部,45,4,45,4,48,6
开放平台业务群,海外产品部,27,7,28,7,31,7
企业数字化业务群,数字员工,85,18,82,19,84,19
企业数字化业务群,讯飞九智,16,10,19,10,22,11
听见科技,听见会议办公,102,46,101,45,100,45
听见科技,听见SaaS平台,75,20,74,20,73,20
听见科技,听见智慧传媒,26,10,26,10,26,10
AI翻译业务群,同传,37,14,35,14,35,13
AI翻译业务群,翻译软件,19,2,23,2,24,2
AI翻译业务群,手持设备,54,15,54,15,53,14
AI翻译业务群,穿戴设备,30,7,30,7,32,8
读写科技,读写科技,126,45,125,46,124,49
C端销售中心,C端销售中心,52,62,52,62,49,61
AI文娱业务群,数字娱乐,84,33,83,33,85,32
AI文娱业务群,讯飞输入法,83,17,83,16,81,16
平台与公共,公共研发部,84,15,82,15,81,15
平台与公共,平台市场部,19,2,19,2,22,2
平台与公共,运作支持部,37,16,37,16,39,14
平台与公共,人力资源部,27,10,27,10,26,10
平台与公共,C端软件办公室,2,0,2,0,2,0
平台与公共,战略与品牌部,15,1,16,1,17,1
平台与公共,BG高管,3,0,3,0,3,0
停薪留职,停薪留职,7,0,7,0,7,0
C端硬件创新中心,C端硬件创新中心,69,14,69,15,66,15
C端硬件海外营销部,C端硬件海外营销部,27,6,27,6,25,5
听见年底人效数据需剔除,学习强国-智慧传媒,2,0,2,0,2,0
听见年底人效数据需剔除,学习强国-会议办公,3,0,3,0,3,0